Case Status,Legislation,Case Reference,Received Date,Received FY,Received FY Month,Received Qtr,Completed Date,Completed FY,Completed Qtr,FY Completed Month,Sector,SubSector,Decision Primary Reason,Submitted About Account,Decision,Decision Detail1,Decision Detail2
Completed,Hybrid,IC-155740-W9J2,14/02/2022,2021/22,11-Feb,Q4,01/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Manufacturing,Unassigned, Everest 2020 Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-144164-P5C3,03/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Land or property services,Building and property construction,Art 17 - Right to erasure,Adeft Services Ltd.,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-148466-P3K9,01/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Accommodation providers,Art 32 - Security of processing,Airbnb UK Limited,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-146503-N6G2,16/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Health,Private Healthcare providers,Art 5(1)(f) - Integrity and confidentiality principle,Alliance Medical Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-149723-M9T4,06/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Health,Dentists,Art 15(3)(1) - Provide a copy of the personal data,Anon DC,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-137433-D2W9,27/10/2021,2021/22,07-Oct,Q3,01/04/2022,2022/23,Q1,01-Apr,Land or property services,Estate agency / letting agency,Art 6 - Lawfulness of processing,Anon DC,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-147154-R7B1,21/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Supplier of goods,Art 6 - Lawfulness of processing,ASDA Stores Limited,Informal action taken,Potential infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-137769-M9B9,29/10/2021,2021/22,07-Oct,Q3,01/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 15 - Right of access,Barnsley Metropolitan Borough Council,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-151644-P4D5,19/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Land or property services,Estate agency / letting agency,Art 5(1)(f) - Integrity and confidentiality principle,Bernards Estate Agents (North End) Ltd,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-147004-L0D9,20/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 5(1)(f) - Integrity and confidentiality principle,Blackburn With Darwen Borough Council,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Case Officer Review Completed,Hybrid,IC-131961-D5B6,28/09/2021,2021/22,06-Sep,Q2,01/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 15(3)(3) - Provide information in electronic form,Bournemouth Christchurch and Poole Council (BCP ),Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-137485-W5V3,27/10/2021,2021/22,07-Oct,Q3,01/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 5(1)(f) - Integrity and confidentiality principle,Bridgend County Borough Council,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-145986-T3H0,13/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 5(1)(f) - Integrity and confidentiality principle,Bridgend County Borough Council,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Review Completed,Hybrid,IC-142079-K0N2,22/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Aviation,Art 15(3)(1) - Provide a copy of the personal data,British Airways Plc,No Further Action,No infringement,No action
Completed,Hybrid,IC-146533-B7V5,17/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Central Government,Non-departmental public body,Art 15 - Right of access,British Broadcasting Corporation (BBC),Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-154113-B2Q4,07/02/2022,2021/22,11-Feb,Q4,01/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Claims management,Art 15 - Right of access,Car Finance Compensation,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-147349-M9T7,21/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Online Technology and Telecoms,Service providers,Art 5 - Principles relating to processing of personal data,CDW Europe Limited,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Review Completed,Hybrid,IC-142872-Y5H9,26/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Charitable and voluntary,Unassigned,Art 5(1)(d) - Accuracy principle,Centre for Effective Dispute Resolution,No Further Action,No infringement,No action
Completed,Hybrid,IC-138858-S2M5,05/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 15 - Right of access,Cheshire West and Chester Council,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-139895-Z4T9,10/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 5(1)(f) - Integrity and confidentiality principle,Cheshire West and Chester Council,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-146553-C1W4,15/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Justice,Police Forces,Art 6 - Lawfulness of processing,Chief Constable Bedfordshire Police,No Further Action,No infringement,No action
Completed,Hybrid,IC-151293-X4J0,07/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Justice,Police Forces,Art 5(1)(e) - Storage limitation principle,Chief Constable Kent Police,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-135766-L2M1,21/10/2021,2021/22,07-Oct,Q3,01/04/2022,2022/23,Q1,01-Apr,Justice,Police Forces,Art 15 - Right of access,Chief Constable Northamptonshire Police,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-150151-K3M1,05/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Justice,Police Forces,Art 12(2)(1) - Facilitate the data subject rights,Chief Constable of The Police Service of Scotland (Police Scotland),No Further Action,No infringement,No action
Case Officer Review Completed,Hybrid,IC-144640-T2L4,07/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Justice,Police Forces,"Art 12(1)(1) - Concise, transparent, intelligible and easily accessible form",Chief Constable Suffolk Constabulary,No Further Action,No infringement,No action
Completed,Hybrid,IC-147075-M8V2,20/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Supplier of goods,Art 15 - Right of access,CITY CARPETS (NEWPORT) LIMITED,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-140426-L6L0,15/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Regulators,Ombudsman,Art 32 - Security of processing,Civil Aviation Authority,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
